name,lat,lon,elev,no_sites,Current Conditions,Reservations,Area Amenities,Fees,Open Season,Usage,Best Season,Busiest Season,Restrictions,Closest Towns,Water,Restroom,Passes,Operated By,Information Center,url,Permit Info,Operational Hours,restroom2,water2
Puma Campground,43.977074,-122.516448,1,NA,Middle Fork Ranger District: Campground is closed until further notice due to impacts from wildfires.,NA,"Toilets,Drinking  water","Single Campsites - $187per night
	Extra Vehicles - $8 per vehicle, per night
	Day Use - $8 per vehicle, per day


Campsite must be occupied every night paid, and fees must be paid within 30 minutes of arrival.",late April - Mid-September,Heavy,"August, September","July, August","Single campsite capacity: 6 persons, 2 vehicles, 2 tents
	Quiet hours: 10 pm to 6 am
	Camping is not allowed more than 14 days in a 60 day period.
	Check-in time: 2:00 pm or later. Check-out time: 1:00 pm 
	Use of chainsaws in the campground is prohibited
	Dogs MUST be on leash at all times within the campground","Lowell, Oregon (18 miles)","Yes, hand pump",Vault toilets,Interagency Senior and Access Passes (and the Golden Age and Access Passes) may receive a 50% discount on the use fee for individual campsites. This discount does not apply to extra vehicle fee or multiple campsites.,American Land & Leisure,"Middle Fork Ranger District
46375 Highway 58
Westfir, OR 97492
541-782-2283",https://www.fs.usda.gov/recarea/willamette/recreation/camping-cabins/recarea/?recid=4509&actid=29,NA,NA,vault,"yes, hand pump"
Sacandaga Campground,43.49809,-122.33391,2,NA,"Middle Fork Ranger District: Campground is currently closed. Opens June 15, 2018 (weather dependent)",NA,"Toilets,Drinking  water","Campsite must be occupied every night paid, and fees must be paid within 30 minutes of arrival 

Single campsite: $8 (single campsite capacity: 6 persons, 2 vehicles, 2 tents)
	Extra vehicle: $4 per vehicle, per night",6/8/2018 (weather dependent) - mid October (weather dependent),Light,"July, August, September",NA,"Non street-legal OHV use prohibited in the campground
	Camping is not allowed more than 14 days in a 60 day period.
	Check-in time: 2:00 pm or later. Check-out time: 1:00 pm 
	Use of chainsaws in the campground is prohibited
	Dogs MUST be on leash at all times within the campground","Oakridge, Oregon (27 miles)","Yes, hand pump",Vault toilets,Interagency Senior and Access Passes (and the Golden Age and Access Passes) may receive a 50% discount on the use fee for individual campsites. This discount does not apply to extra vehicle fee or multiple campsites.,Willamette National Forest,"Middle Fork Ranger District
46375 Highway 58
Westfir, OR 97492
541-782-2283",https://www.fs.usda.gov/recarea/willamette/recreation/camping-cabins/recarea/?recid=4510&actid=29,NA,NA,vault,"yes, hand pump"
Salmon Creek Falls Campground,43.762609,-122.375124,1,NA,"Middle Fork Ranger District: Campground is currently open. Closes September 3, 2018",NA,"Picnic tables,Toilets,Drinking  water","Single Campsites - $17 per night
	Extra Vehicles - $8 per vehicle, per night
	Day Use - $8 per day


Campsites must be occupied every night paid, and fees must be paid within 30 minutes of arrival.",4/20/2018 - 9/3/2018,Medium-Heavy,"August, September","July, August","Single campsite capacity: 6 persons, 2 vehicles, 2 tents
	Quiet hours: 10 pm to 6 am
	Camping is not allowed more than 14 days in a 60 day period.
	Check-in time: 2:00 pm or later. Check-out time: 1:00 pm 
	Use of chainsaws in the campground is prohibited
	Dogs MUST be on leash at all times within the campground","Oakridge, Oregon (5 miles)",Hand pump,Vault toilets,Interagency Senior and Access Passes (and the Golden Age and Access Passes) may receive a 50% discount on the use fee for individual campsites. This discount does not apply to extra vehicle fee or multiple campsites.,American Land & Leisure,"Middle Fork Ranger District
46375 Highway 58
Westfir, OR 97492
541-782-2283",https://www.fs.usda.gov/recarea/willamette/recreation/camping-cabins/recarea/?recid=4511&actid=29,NA,NA,vault,hand pump
Sand Prairie Campground,43.60147,-122.451022,1,NA,"Middle Fork Ranger District: Campground is currently closed. Opens May 25, 2018",NA,Toilets,"Single Campsites - $14 per night
	Extra Vehicles - $8 per vehicle, per night
	Day Use - $8 per vehicle, per day


Campsite must be occupied every night paid, and fees must be paid within 30 minutes of arrival.",5/25/2018 - 9/16/2018,Medium,"July, August, September","July, August","Single campsite capacity: 6 persons, 2 vehicles, 2 tents
	Multiple campsite capacity: 8 persons, 3 vehicles, 3 tents
	Quiet hours: 10 pm to 6 am
	Camping is not allowed more than 14 days in a 60 day period.
	Check-in time: 2:00 pm or later. Check-out time: 1:00 pm 
	Use of chainsaws in the campground is prohibited
	Dogs MUST be on leash at all times within the campground","Oakridge, Oregon (14 miles)",None,Vault toilets,Interagency Senior and Access Passes (and the Golden Age and Access Passes) may receive a 50% discount on the use fee for individual campsites. This discount does not apply to extra vehicle fee or multiple campsites.,American Land & Leisure,"Middle Fork Ranger District
46375 Highway 58
Westfir, OR 97492
541-782-2283",https://www.fs.usda.gov/recarea/willamette/recreation/camping-cabins/recarea/?recid=4512&actid=29,NA,NA,vault,no
Secret Campground,43.515848,-122.443266,1,NA,"Middle Fork Ranger District: Campground is currently closed. Opens May 25, 2018",NA,NA,"Single Campsites - $14 per night
	Extra Vehicles - $8 per vehicle, per night
	Day Use - $8 per vehicle, per day


Campsite must be occupied every night paid, and fees must be paid within 30 minutes of arrival.",5/25/2018 - 9/16/2018,Light-Medium,"August, September","July, August","Single campsite capacity: 6 persons, 2 vehicles, 2 tents
	Quiet hours: 10 pm to 6 am
	Camping is not allowed more than 14 days in a 60 day period.
	Check-in time: 2:00 pm or later. Check-out time: 1:00 pm 
	Use of chainsaws in the campground is prohibited
	Dogs MUST be on leash at all times within the campground","Oakridge, Oregon (20 miles)",No water,Vault toilet,Interagency Senior and Access Passes (and the Golden Age and Access Passes) may receive a 50% discount on the use fee for individual campsites. This discount does not apply to extra vehicle fee or multiple campsites.,American Land & Leisure,"Middle Fork Ranger District
46375 Highway 58
Westfir, OR 97492
541-782-2283",https://www.fs.usda.gov/recarea/willamette/recreation/camping-cabins/recarea/?recid=4513&actid=29,NA,NA,vault,no
Skookum Creek Campground,43.86107,-122.045064,4,NA,"Middle Fork Ranger District: Campground is currently closed. Opens May 28, 2018 (weather dependent)",NA,Toilets,"Campsite must be occupied every night paid, and fees must be paid within 30 minutes of arrival. 

Single Campsites -$5 per vehicle, per day
	Day Use - $5 per vehicle, per day",5/28/2018 (weather dependent) - mid October (weather dependent),Medium,August-October,"July, August","No trailer facilities
	Quiet hours: 10 pm to 6 am
	Camping is not allowed more than 14 days in a 60 day period.
	Check-in time: 2:00 pm or later. Check-out time: 1:00 pm 
	Use of chainsaws in the campground is prohibited
	Dogs MUST be on leash at all times within the campground","Oakridge, Oregon (40 miles)",No water,Vault toilets,Recreation Passes may be used as a form of fee payment,Willamette National Forest,"Middle Fork Ranger District
46375 Highway 58
Westfir, OR 97492
541-782-2283",https://www.fs.usda.gov/recarea/willamette/recreation/camping-cabins/recarea/?recid=4516&actid=29,NA,NA,vault,no
Timpanogas Campground,43.41019553108629,-122.1151254008377,5,NA,"Middle Fork Ranger District: Campground is currently closed. Opens June 8, 2018 (weather dependent)",NA,"Toilets,Drinking  water","Campsite must be occupied every night paid, and fees must be paid within 30 minutes of arrival.

Single Campsites - $8 per night
	Extra Vehicles - $4 per vehicle, per night",6/8/2018 (weather dependent) - early October (weather dependent),Heavy,"August, September",August,"Camping is not allowed more than 14 days in a 60 day period.
	Check-in time: 2:00 pm or later. Check-out time: 1:00 pm 
	Use of chainsaws in the campground is prohibited
	Dogs MUST be on leash at all times within the campground","Oakridge, Oregon (42 miles)","Yes, hand pump",Vault toilets,Interagency Senior and Access Passes (and the Golden Age and Access Passes) may receive a 50% discount on the use fee for individual campsites. This discount does not apply to extra vehicle fee or multiple campsites.,Willamette National Forest,Middle Fork Ranger Station,https://www.fs.usda.gov/recarea/willamette/recreation/camping-cabins/recarea/?recid=4517&actid=29,NA,NA,vault,"yes, hand pump"
Islet Campground (Waldo Lake),43.747953,-122.007455,5400,NA,"Middle Fork Ranger District: Campground is currently closed. Opens June 8, 2018 (weather dependent) 

5/17/2018: The road to Waldo Lake is blocked by snow approximately 6 miles from Hwy 58.",Reserve online at www.recreation.gov or phone 1.877.444.6777.,NA,"Single Campsites - $24 per night
	Multiple Campsites - $44 per night
	Extra Vehicles - $8 per vehicle, per night


Campsite must be occupied every night paid and fees must be paid within 30 minutes of arrival.",6/8/2018 (weather dependent) - 9/23/2018 (weather dependent),Medium,"August, September",August,"Single campsite capacity: 6 persons, 2 vehicles, and 2 tents*
	Multiple campsite capacity: 8 persons, 3 vehicles, and 3 tents*
	See special regulations for Waldo Lake Area
	Camping is not allowed more than 14 days in a 60 day period.
	Check-in time: 2:00 pm or later. Check-out time: 1:00 pm 
	Use of chainsaws in the campground is prohibited
	Dogs MUST be on leash at all times within the campground


*Additional vehicles that cannot fit within the area of the parking spur must park in the boat launch parking area.","Oakridge, Oregon (37.3 miles)
	Crescent Junction, Oregon (24.5 miles)","Yes, faucets",Vault toilets,Interagency Senior and Access Passes (and the Golden Age and Access Passes) may receive a 50% discount on the use fee for individual campsites. This discount does not apply to extra vehicle fee or multiple campsites.,American Land & Leisure,"Middle Fork Ranger District
46375 Highway 58
Westfir, OR 97492
541-782-2283",https://www.fs.usda.gov/recarea/willamette/recreation/camping-cabins/recarea/?recid=4501&actid=29,NA,NA,vault,"yes, faucets"
North Waldo Campground,43.76016236496376,-122.0039726630915,5400,NA,"Middle Fork Ranger District: Campground is currently closed. Opens June 8, 2018 (weather dependent) 

5/17/2018: The road to Waldo Lake is blocked by snow approximately 6 miles from Hwy 58.",Reserve online at www.recreation.gov or phone 1.877.444.6777.,"Boat ramp,Picnic tables,Toilets,Drinking  water","Single Campsites - $24 per night
	Multiple Campsites - $44 per night
	Extra vehicles - $8 per vehicle, per night


Campsite must be occupied every night paid, and fees must be paid within 30 minutes of arrival.",6/8/2018 (weather dependent) - 10/8/2018 (weather dependent),Heavy,NA,NA,"See special regulations for Waldo Lake Area
	Single campsite capacity: 6 persons, 2 vehicles, and 2 tents*
	Multiple campsite capacity: 8 persons, 3 vehicles, and 3 tents*
	Camping is not allowed more than 14 days in a 60 day period.
	Check-in time: 2:00 pm or later. Check-out time: 1:00 pm 
	Use of chainsaws in the campground is prohibited
	Dogs MUST be on leash at all times within the campground


*Additional vehicles that cannot fit within the area of the parking spur must park in the boat launch parking area","Oakridge, Oregon (36.5 miles)
	Crescent Junction, Oregon (23.7 miles)",Faucets,Vault and composting toilet,Interagency Senior and Access Passes (and the Golden Age and Access Passes) may receive a 50% discount on the use fee for individual campsites. This discount does not apply to extra vehicle fee or multiple campsites.,American Land & Leisure,"Middle Fork Ranger District
46375 Highway 58
Westfir, OR 97492
541-782-2283",https://www.fs.usda.gov/recarea/willamette/recreation/camping-cabins/recarea/?recid=4504&actid=29,NA,NA,vault and composting,faucets
Shadow Bay Campground (Waldo Lake),43.69628035225149,-122.04104174327681,5,NA,"Middle Fork Ranger District: Campground is currently closed. Opens June 23, 2018 (weather dependent) 

5/17/2018: The road to Waldo Lake is blocked by snow approximately 6 miles from Hwy 58.",Reserve online at www.recreation.gov or phone 1.877.444.6777.,"Toilets,Drinking  water","Single Campsites - $24 per night
	Multiple Campsites - $44 per night
	Group Sites
	Site B and C - $385 per night
		Site E - $110 per night
	
	Extra Vehicles - $8 per vehicle, per night
	Day Use - $8 per vehicle, per day


Campsite must be occupied every night paid and fees must be paid within 30 minutes of arrival.",6/23/2018 (weather dependent) - 9/23/2018 (weather dependent),Heavy,"August, September",August,"Single campsite capacity: 6 persons, 2 vehicles, and 2 tents*
	Multiple campsite capacity: 8 persons, 3 vehicles, and 3 tents*
	See special regulations for Waldo Lake Area
	Camping is not allowed more than 14 days in a 60 day period.
	Check-in time: 2:00 pm or later. Check-out time: 1:00 pm
	Use of chainsaws in the campground is prohibited
	Dogs MUST be on leash at all times within the campground


*Additional vehicles that cannot fit within the area of the parking spur must park in the boat launch parking area","Oakridge, Oregon (31.8 miles)
	Crescent Junction, Oregon (19 miles)",Faucets,Composting toilet,Interagency Senior and Access Passes (and the Golden Age and Access Passes) may receive a 50% discount on the use fee for individual campsites. This discount does not apply to extra vehicle fee or multiple campsites.,American Land & Leisure,"Middle Fork Ranger District
46375 Highway 58
Westfir, OR 97492
541-782-2283",https://www.fs.usda.gov/recarea/willamette/recreation/camping-cabins/recarea/?recid=4514&actid=29,NA,NA,composting,faucets
Fernview Campground,44.40263506724349,-122.3034757808708,1400,NA,"Sweet Home Ranger District: Campground opens May 5, 2018. Closes September 23, 2018.",Reservable as group site only. Individual sites are not reservable. Groups may reserve online at www.recreation.gov or phone 1.877.444.6777.,"Picnic tables,Toilets,Drinking  water","Group Campsite - $150 per night
	Single Campsites - $18 per night (only available when campground is not reserved as a group site) 
	Extra Vehicle - $5 per vehicle, per night
	Day Use - No fee",5/5/2018 - 9/23/2018,Medium,NA,NA,"Camping is not allowed more than 14 days in a 60 day period.
	Check-in time: 2:00 pm or later. Check-out time: 1:00 pm 
	Use of chainsaws in the campground is prohibited
	Dogs MUST be on leash at all times within the campground","Sweet Home, OR",No,Vault toilet,Interagency Senior and Access Passes (and the Golden Age and Access Passes) may receive a 50% discount on the use fee for individual campsites. This discount does not apply to extra vehicle fee or multiple campsites.,Linn County Parks & Recreation,"Sweet Home Ranger District
4431 Highway 20
Sweet Home, OR 97386
541-367-5168",https://www.fs.usda.gov/recarea/willamette/recreation/recarea/?recid=4306,NA,NA,vault,no
House Rock Campground,44.39287736118245,-122.2452068122736,1800,NA,"Sweet Home Ranger District: Campground is opens May 5, 2018. Closes September 23, 2018.",Reserve online at www.recreation.gov or phone 1.877.444.6777,"Picnic tables,Toilets,Drinking  water","Single Campsites - $18 per night
	Extra Vehicles - $5 per vehicle, per night
	Day Use - No fee",5/5/2018 - 9/23/2018,Medium,NA,NA,"Camping is not allowed more than 14 days in a 60 day period.
	Check-in time: 2:00 pm or later. Check-out time: 1:00 pm 
	Use of chainsaws in the campground is prohibited
	Dogs MUST be on leash at all times within the campground","Sweet Home, OR",Yes,Vault toilet,Interagency Senior and Access Passes (and the Golden Age and Access Passes) may receive a 50% discount on the use fee for individual campsites. This discount does not apply to extra vehicle fee or multiple campsites.,Linn County Parks & Recreation,"Sweet Home Ranger District
4431 Highway 20
Sweet Home, OR 97386
541-367-5168",https://www.fs.usda.gov/recarea/willamette/recreation/recarea/?recid=4308,NA,NA,vault,yes
Trout Creek Campground,44.39851333174419,-122.3489090088748,1200,NA,"Sweet Home Ranger District: Campground is currently opens May 5, 2018. Closes September 23.",Reserve online at www.recreation.gov or phone 1.877.444.6777,"Picnic tables,Toilets,Drinking  water","Single Campsites - $18 per night
	Extra Vehicles - $5 per vehicle, per night
	Day Use - No fee",5/5/2018 - 9/23/2018,Medium,NA,NA,NA,"Sweet Home, Oregon","Yes, hand pumps",Vault toilets,Interagency Senior and Access Passes (and the Golden Age and Access Passes) may receive a 50% discount on the use fee for individual campsites. This discount does not apply to extra vehicle fee or multiple campsites.,Linn County Parks & Recreation,"Sweet Home Ranger District
4431 Highway 20
Sweet Home, OR 97386
541-367-5168",https://www.fs.usda.gov/recarea/willamette/recreation/recarea/?recid=4311,NA,NA,vault,"yes, hand pumps"
House Rock Campground,44.39287736118245,-122.2452068122736,1800,NA,"Sweet Home Ranger District: Campground is opens May 5, 2018. Closes September 23, 2018.",Reserve online at www.recreation.gov or phone 1.877.444.6777,"Picnic tables,Toilets,Drinking  water","Single Campsites - $18 per night
	Extra Vehicles - $5 per vehicle, per night
	Day Use - No fee",5/5/2018 - 9/23/2018,Medium,NA,NA,"Camping is not allowed more than 14 days in a 60 day period.
	Check-in time: 2:00 pm or later. Check-out time: 1:00 pm 
	Use of chainsaws in the campground is prohibited
	Dogs MUST be on leash at all times within the campground","Sweet Home, OR",Yes,Vault toilet,Interagency Senior and Access Passes (and the Golden Age and Access Passes) may receive a 50% discount on the use fee for individual campsites. This discount does not apply to extra vehicle fee or multiple campsites.,Linn County Parks & Recreation,"Sweet Home Ranger District
4431 Highway 20
Sweet Home, OR 97386
541-367-5168",https://www.fs.usda.gov/recarea/willamette/recreation/camping-cabins/recarea/?recid=4308&actid=29,NA,NA,vault,yes
Trout Creek Campground,44.39851333174419,-122.3489090088748,1200,NA,"Sweet Home Ranger District: Campground is currently opens May 5, 2018. Closes September 23.",Reserve online at www.recreation.gov or phone 1.877.444.6777,"Picnic tables,Toilets,Drinking  water","Single Campsites - $18 per night
	Extra Vehicles - $5 per vehicle, per night
	Day Use - No fee",5/5/2018 - 9/23/2018,Medium,NA,NA,NA,"Sweet Home, Oregon","Yes, hand pumps",Vault toilets,Interagency Senior and Access Passes (and the Golden Age and Access Passes) may receive a 50% discount on the use fee for individual campsites. This discount does not apply to extra vehicle fee or multiple campsites.,Linn County Parks & Recreation,"Sweet Home Ranger District
4431 Highway 20
Sweet Home, OR 97386
541-367-5168",https://www.fs.usda.gov/recarea/willamette/recreation/camping-cabins/recarea/?recid=4311&actid=29,NA,NA,vault,"yes, hand pumps"
Yukwah Campground,44.39999409274914,-122.3411096317468,1250,NA,"Sweet Home Ranger District: Campground opens May 5, 2018. Closes September 23.",Reserve online at www.recreation.gov or phone 1.877.444.6777,"Picnic tables,Toilets,Drinking  water","Single Campsites - $18 per night
	Extra Vehicles - $5 per vehicle, per night
	Day Use - No fee",5/5/2018 - 9/23/2018,Medium,NA,NA,"Camping is not allowed more than 14 days in a 60 day period.
	Check-in time: 2:00 pm or later. Check-out time: 1:00 pm 
	Use of chainsaws in the campground is prohibited
	Dogs MUST be on leash at all times within the campground","Sweet Home, OR",Yes,Vault toilets,Interagency Senior and Access Passes (and the Golden Age and Access Passes) may receive a 50% discount on the use fee for individual campsites. This discount does not apply to extra vehicle fee or multiple campsites.,Linn County Parks & Recreation,"Sweet Home Ranger District
4431 Highway 20
Sweet Home, OR 97386
541-367-5168",https://www.fs.usda.gov/recarea/willamette/recreation/camping-cabins/recarea/?recid=4313&actid=29,NA,NA,vault,yes
Breitenbush Campground,44.78140394512477,-121.9914767198281,2100,NA,"Detroit Ranger District: Campground is currently closed. Opens May 25, 2018",Reserve online at www.recreation.gov or phone 1.877.444.6777.,"Tent camping,Camping trailer,Picnic tables,Toilets,Drinking  water","Single Campsites - $18 per night
	Multiple Campsites - $33 per night
	Extra Vehicles - $8 per vehicle, per night
	Day Use - $8 per vehicle, per day


Campsite must be occupied every night paid.",5/25/2018 - 9/16/2018,Heavy,September,July-August,"Camping is not allowed more than 14 days in a 60 day period.
	Check-in time: 2:00 pm or later. Check-out time: 1:00 pm 
	Use of chainsaws in the campground is prohibited
	Dogs MUST be on leash at all times within the campground","Detroit, Oregon (9.3 miles)",Yes,Vault Toilets ,Interagency Senior and Access Passes (and the Golden Age and Access Passes) may receive a 50% discount on the use fee for individual campsites. This discount does not apply to extra vehicle fee or multiple campsites.,American Land & Leisure,"Detroit Ranger District
44125 North Santiam Highway SE
Detroit, OR 97342
503-854-3366",https://www.fs.usda.gov/alerts/willamette/alerts-notices/?aid=42002 ,NA,NA,vault,yes
Shady Cove Campground,44.84615842615614,-122.2991244655183,1500,NA,"Detroit Ranger District: Campground open year round, weather dependent.",NA,"Tent camping,Camping trailer,Picnic tables,Toilets","Single Campsites - $8 per night
	Multiple Campsites - $16 per night
	Extra Vehicles - $5 per vehicle, per night


A $5 per vehicle, per day fee or valid recreation pass is required for the Little North Santiam Trail #3338 (located across the bridge from campground). Please use fee tube located at Shady Cove Campground","Year Round, weather dependent",Medium-Heavy,September,July - August,"Camping is not allowed more than 14 days in a 60 day period.
	Check-in time: 2:00 pm or later. Check-out time: 1:00 pm 
	Use of chainsaws in the campground is prohibited
	Dogs MUST be on leash at all times within the campground
	ATVs use is only allowed to enter and leave the campground
	Target shooting is prohibited within the Opal Creek Scenic Recreation Area
Special regulations are in place to help protect this area and preserve the experience for you and for future visitors.","Gates, Oregon (11.7 miles)
	Mill City, Oregon (15.1 miles)
	Mehama, Oregon (18.5 miles)",None,Vault Toilets ,Interagency Senior and Access Passes (and the Golden Age and Access Passes) may receive a 50% discount on the use fee for individual campsites. This discount does not apply to extra vehicle fee or multiple campsites.,Willamette National Forest,"Detroit Ranger District
44125 North Santiam Highway SE
Detroit, OR 97342
503-854-3366",https://www.fs.usda.gov/alerts/willamette/alerts-notices/?aid=39767 ,NA,NA,vault,no
